date,ticker,nav,open,high,low,close,volume,trading_value,base_index
2026-01-30,0049M0,11426.76,11390,11395,11340,11360,76440,868094626,1280.56
2026-01-30,0049K0,10958.29,10930,10985,10910,10960,25010,273692147,1945.79
2026-01-30,181480,81027.15,81280,81280,80400,80400,269,21681045,1828.08
2026-01-30,480020,12773.12,12600,12675,12550,12635,148241,1869325600,2003.24
2026-01-30,465580,22726.36,22610,22630,22385,22460,1610910,36291907278,35735.76
2026-01-30,465610,39431.6,38125,38990,38090,38510,42717,1652360414,35735.76
2026-01-30,465620,7188.62,7250,7250,7212,7245,59,427312,35735.76
2026-01-30,473590,21306.98,21165,21290,20865,20980,44259,930859512,10526.66
2026-01-30,0008E0,12701.62,12670,12670,12560,12570,8786,110994140,331.38
2026-01-30,391600,11792.32,11640,11640,11455,11455,4318,49641379,3394.32
2026-01-30,455660,9745.62,9770,9770,9760,9770,63847,623657958,395.36
2026-01-30,245710,31764.28,30925,31580,30890,31580,90553,2825591445,2029.81
2026-01-30,131890,31039.17,31095,31355,30900,31090,2647,82361805,30600.54
2026-01-30,108450,28212.81,28210,28615,28070,28265,23038,652831975,27791.73
2026-01-30,316300,14771.06,14880,14890,14670,14815,1209,17909290,1330.6
2026-01-30,277540,27178.59,27000,27335,26725,26820,3497,94285921,7634.91
2026-01-30,483420,15839.33,15860,15860,15675,15725,27087,427358160,3762.77
2026-01-30,483320,16968.64,17020,17020,16695,16900,297886,5031640264,7870.02
2026-01-30,448540,25358.19,25175,25270,25110,25200,159834,4032055086,9590.8
2026-01-30,0099L0,99106.2,99190,99190,99140,99165,167,16561865,117.5
2026-01-30,433500,52393.33,54075,54150,52400,52515,191959,10202293389,5253.34
2026-01-30,0102X0,10833.71,10850,10850,10775,10840,65443,707911166,709.46
2026-01-30,487920,8424.39,8350,8395,8290,8365,21037,175913317,4520.21
2026-01-30,487910,8551.0,8570,8570,8425,8525,37226,316128652,3197.08
2026-01-30,145670,2387.39,2420,2420,2335,2395,146852,348808500,3798.15
2026-01-30,497520,12984.19,12970,12970,12925,12950,4768,61719886,3363.03
2026-01-30,238720,38235.54,38310,38440,38015,38300,8160,312176695,53322.85
2026-01-30,196030,68809.93,69520,69875,68885,69775,1227,85362495,3566.32
2026-01-30,205720,1763.64,1749,1757,1739,1751,100964,177108024,3566.32
2026-01-30,469160,20733.76,20460,21085,20460,20925,20834,434193795,5851.19
2026-01-30,0021C0,13033.18,13090,13090,12880,12920,46216,599117580,4037.81
2026-01-30,356540,104060.72,104350,104350,104095,104130,4987,519445712,117.9
2026-01-30,447430,15873.52,15550,15800,15515,15695,184311,2890477032,1094.27
2026-01-30,416090,12112.48,11940,11945,11610,11860,51282,604831409,1509.4
2026-01-30,168580,35665.16,35425,35645,34840,35405,11496,405131079,4706.34
2026-01-30,219900,4828.94,4700,4790,4590,4690,9842,46090175,4706.34
2026-01-30,272910,106325.36,106450,106450,106330,106340,71,7550920,154.8
2026-01-30,0087F0,11460.82,11715,11715,10760,11350,12824,144160828,1893.58
2026-01-30,371870,9010.97,8740,8890,8730,8765,16858,148223395,5735.76
2026-01-30,380340,17739.58,17845,18105,17630,17790,6883,123363462,3542.64
2026-01-30,496120,23230.88,22950,23655,22950,23285,5843,136531360,2330.71
2026-01-30,354500,20620.47,21115,21550,20625,20625,2134555,45014337999,2052.25
2026-01-30,305050,54534.43,54335,55535,54305,54670,9382,514808900,5224.36
2026-01-30,457480,20811.34,21465,21465,21070,21240,3443525,73107159936,10926.99
2026-01-30,469170,7019.69,7285,7345,6965,7010,1452723,10304359556,3506.96
2026-01-30,495710,51268.11,51280,51280,51280,51280,1,51280,107.7
2026-01-30,466810,7225.86,7580,7595,7215,7215,165681,1219313255,5618.2
2026-01-30,457930,26144.37,26540,26595,25970,26175,1847,48603637,5947.73
2026-01-30,487750,19555.49,18840,20215,18840,19575,53328,1051517904,5278.54
2026-01-30,445690,26685.18,26545,27035,26545,26770,3022,81230745,3455.05
2026-01-30,0120J0,11109.8,11340,11425,11130,11140,74316,838301865,522.39
2026-01-30,486240,19880.37,19430,20435,19415,19965,9021,179931929,7338.96
2026-01-30,434960,77934.78,77350,79305,77350,78020,9800,767503230,768.41
2026-01-30,0098Z0,66065.34,65875,66695,65860,66695,288,19060445,768.41
2026-01-30,448570,24600.31,24790,24985,24490,24705,7967,197399237,5224.36
2026-01-30,285690,18100.2,18290,18290,18155,18155,6,109375,2776.3
2026-01-30,0073X0,11389.7,11140,11370,11140,11320,15003,169964644,1237.66
2026-01-30,293180,77468.88,76855,78930,76855,77510,411332,32045639880,768.41
2026-01-30,407310,15025.9,15210,15290,15050,15070,3314,50315097,2325.76
2026-01-30,332930,100789.85,100280,102535,100280,100975,15392,1558683020,1011.36
2026-01-30,304780,85477.19,83490,88395,83490,85185,3383,291692030,3798.15
2026-01-30,306520,4422.79,4470,4470,4380,4430,21972,97199102,3798.15
2026-01-30,0123S0,10030.52,10035,10035,10030,10035,6168,61875945,108.68
2026-01-30,0091M0,10039.49,10050,10050,10050,10050,32,321600,108.11
2026-01-30,448490,54620.4,54890,54890,54620,54640,1496,81786725,109.4
2026-01-30,454320,38562.81,38955,39295,38240,38450,19193,745470007,5544.82
2026-01-30,395290,9353.2,9440,9580,9345,9345,293046,2781211314,893.69
2026-01-30,395280,4253.49,4325,4375,4260,4260,43997,189463740,826.89
2026-01-30,368190,9044.03,9255,9290,9050,9070,24115,221135500,2179.48
2026-01-30,402460,9479.03,9540,9640,9485,9500,4186,39914815,1522.08
2026-01-30,395270,29117.66,28040,29980,28040,29190,9702148,283907720446,8717.6
2026-01-30,438900,11780.53,11870,11885,11680,11795,68567,808231916,907.0
