industry,keyword,title,description,originallink,link,pubDate,collected_at
반도체,반도체 주가,삼성전자 목표가 5만원↑·하이닉스 90만원↓…HBM4가 가른 희비 [칩칩폭...,"한미반도체(-3.87%), 원익IPS(-3.60%), 주성엔지니어링(-3.79%), 피에스케이(-4.98%), 테스(-7.43%) 등 장비·고대역폭메모리(HBM) 관련주도 대부분 내리면서 국내 반도체 대형주와 소부장주가 동반 약세를 보였다. - 미국... ",http://www.joseilbo.com/news/news_read.php?uid=574748&class=17&grp=,https://n.news.naver.com/mnews/article/123/0002389284?sid=101,"Mon, 31 Aug 2026 10:07:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,삼성전자·SK하이닉스 2~3%대↓…美 긴축 우려에 동반 약세,삼성전자 주가흐름 (그래픽=네이버페이 증권 캡처) 삼성전자와 SK하이닉스가 장중 동반 약세를 보이고... 고금리가 장기화할 경우 성장주와 기술주의 밸류에이션 부담이 커질 수 있어 국내 대형 반도체주에도 부담... ,http://www.econonews.co.kr/news/articleView.html?idxno=443576,http://www.econonews.co.kr/news/articleView.html?idxno=443576,"Mon, 31 Aug 2026 10:04:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,케빈 워시 '매파적 발언'에...코스피·코스닥 하락,케빈 워시 발언으로 특히 엔비디아와 인텔 등 반도체주가 급락했는데 이 영향으로 우리 반도체 대형주들도 약세를 보이고 있습니다. 코스닥도 3거래일 만에 하락세로 돌아섰습니다. 코스닥은 2% 내린 822로 출발했는데... ,https://www.ytn.co.kr/_ln/0102_202608311004451050,https://n.news.naver.com/mnews/article/052/0002400489?sid=101,"Mon, 31 Aug 2026 10:04:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,"한미반도체 주가, 8월 31일 장중 211,000원 3.87% 하락","특히, 한미반도체의 주가수익비율(PER)은 90.56배로, 동일업종의 평균 PER 16.91배와 비교하면 매우 높은 수준이다. 이러한 큰 PER 격차는 한미반도체에 대한 시장의 강한 관심과 미래 성장 가능성에 대한 평가가... ",https://www.topstarnews.net/news/articleView.html?idxno=16177924,https://www.topstarnews.net/news/articleView.html?idxno=16177924,"Mon, 31 Aug 2026 10:02:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,"삼성전자·하이닉스, 법인세로만 연 100조 내나","증권가 컨센서스 기준 삼성전자 영업이익 385조 원, SK하이닉스 266조 원으로 반도체 슈퍼사이클이 수치로 입증되고 있어, 양사 주가 재평가 논거가 한층 강화된 국면이다. ■ 연준 금리 인상 가능성 급부상: 케빈... ",https://www.sedaily.com/article/20085115?ref=naver,https://n.news.naver.com/mnews/article/011/0004656807?sid=101,"Mon, 31 Aug 2026 10:01:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,美 연준 의장 매파적 발언·중동 긴장 '겹악재'⋯코스피 1%대↓,시가총액 비중이 큰 대형 반도체주가 내리고 있다. 이날 삼성전자는 전 거래일 대비 4500원(1.75%) 내린 25만2500원을 가리키고 있다. SK하이닉스도 2만2000원(1.33%) 하락한 163만1000원에 거래 중이다. SK하이닉스와... ,http://www.inews24.com/view/1999880,https://n.news.naver.com/mnews/article/031/0001053682?sid=101,"Mon, 31 Aug 2026 09:58:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,"코스피, '워시 쇼크'에 2.58% 하락 출발…6500선 찍고 낙폭 축소",지난 주말 미국 증시에서 엔비디아를 비롯한 주요 반도체주가 일제히 급락한 여파가 국내 증시로 이어지면서 투자심리가 위축된 모습이다. 개장 직후 6500선까지 밀렸던 지수는 이후 낙폭을 일부 만회하며... ,http://www.newsian.co.kr/news/articleView.html?idxno=94492,http://www.newsian.co.kr/news/articleView.html?idxno=94492,"Mon, 31 Aug 2026 09:56:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,삼전닉스 나란히 2%대 하락…코스피 2%대 내려 6600대[코주부],이에 기준금리 인상 우려가 재차 고개를 들며 뉴욕증시 3대 주가지수도 일제히 약세를 나타냈다. 국내 증시에서는 시가총액 상위 반도체주를 중심으로 매도세가 거세다. 삼성전자는 전 거래일보다 5500(2.14... ,https://www.sedaily.com/article/20085114?ref=naver,https://n.news.naver.com/mnews/article/011/0004656802?sid=101,"Mon, 31 Aug 2026 09:53:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,글로벌 금리 인상 우려에 삼전닉스 2%대 이상 하락[특징주],반도체주가 31일 장 초반 약세를 보이고 있다. 미국 연방준비제도(Fed)의 추가 금리 인상 가능성이 재부각되면서 투자심리가 위축된 것으로 풀이된다. 31일 한국거래소에 따르면 오전 9시 26분 기준 삼성전자는... ,https://www.newsway.co.kr/news/view?ud=2026083109353295658,https://www.newsway.co.kr/news/view?ud=2026083109353295658,"Mon, 31 Aug 2026 09:50:00 +0900",2026-08-31 10:12:31
반도체,반도체 주가,"코스피, 美금리인상 우려에 1%대 내려 6,600대…코스닥도 급락(종합)","시가총액 상위 종목 중에선 삼성전자(-3.11%), SK하이닉스(-2.96%) 등 반도체주가 하락해 지수를 끌어 내리고 있다. 아울러 SK스퀘어(-2.92%), 삼성전기(-3.38%), 현대차(-0.88%), 삼성바이오로직스(-2.09%), 두산에너빌리티... ",https://www.yna.co.kr/view/AKR20260831045500008?input=1195m,https://n.news.naver.com/mnews/article/001/0016279612?sid=101,"Mon, 31 Aug 2026 09:50:00 +0900",2026-08-31 10:12:31
