industry,keyword,title,description,originallink,link,pubDate,collected_at
반도체,반도체 주가,"“오르면 던지고 더 오르면 더 던지고”…150조 판 외국인, 하반기 260조...",반도체 대형주를 중심으로 매도세를 이어간 외국인이 하반기 국내 증시로 복귀할 수 있을지 관심이... 이는 삼성전자와 SK하이닉스 등 보유 종목의 주가 상승 폭이 매도 규모를 웃돌면서 보유 자산 가치가 크게... ,https://www.mk.co.kr/article/12090872,https://n.news.naver.com/mnews/article/009/0005703065?sid=101,"Mon, 06 Jul 2026 09:07:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,[친절한 경제] 8천피 회복했지만…'1조 클럽' 91개 빠졌다,"최근 상승장이 삼성전자와 SK하이닉스 같은 초대형 반도체주에 집중되면서 지수는 오르는데 중형주 이하는... 당시 기초자산인 SK하이닉스 주가는 8% 가까이 떨어졌는데, 이 ETF는 오히려 50% 가까이 급등한 채 거래를... ",https://news.sbs.co.kr/news/endPage.do?news_id=N1008642519&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001369926?sid=101,"Mon, 06 Jul 2026 09:06:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,'반도체 메가 프로젝트' 통했나…李대통령 지지율 7주 만에 상승,리얼미터는 &quot;정부의 3대 메가 프로젝트인 서남·충청·영남권 대규모 지역 투자 발표가 지지율 반등에 긍정적 신호로 작용했다&quot;면서도 &quot;주가 급락과 고환율 등 체감 경기 악재가 이어지면서 상승 폭은 제한적인... ,https://www.sisajournal.com/news/articleView.html?idxno=378766,https://n.news.naver.com/mnews/article/586/0000133068?sid=100,"Mon, 06 Jul 2026 09:05:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,"폴라리스오피스, 계열사ㆍ경영진 동반 장내 매수…“책임경영ㆍ주주가...",주주가치 제고에 나섰다. 최근 대형주 중심의 쏠림 현상으로 코스닥 시장의 투자심리가 위축된 가운데... 최근 국내 증시는 반도체 등 일부 대형 업종으로 매수세가 집중되면서 코스닥 시장 전반이 약세를 보인다. 회사... ,https://www.etoday.co.kr/news/view/2600472,https://www.etoday.co.kr/news/view/2600472,"Mon, 06 Jul 2026 09:04:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,"코스닥, 1200 찍고 800대로…빚투마저 '외면'","△미국과 이란 간 종전 협상 불확실성 △원화 약세 △삼성전자와 SK하이닉스 등 대형 반도체주 중심의... 코스닥 상장사를 프리미엄과 스탠다드 등으로 나누는 '승강제' 도입을 추진하고 있으며, 주가 1000원 미만... ",https://www.bloter.net/news/articleView.html?idxno=667250,https://n.news.naver.com/mnews/article/293/0000087246?sid=101,"Mon, 06 Jul 2026 09:02:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,&quot;삼전-닉스만으론 부족&quot;…프랭클린템플턴이 찍은 다음 투자처는?,"최근 인공지능(AI) 랠리로 삼성전자와 SK하이닉스 등 반도체 대형주가 지수를 끌어올렸지만, 시장 전체는 여전히 저평가 상태인 만큼 향후 투자 초점은 '반도체 공작새'가 아닌 '잠자는 한국 호랑이'를 찾는 액티브... ",http://www.fnnews.com/news/202607060856259243,https://n.news.naver.com/mnews/article/014/0005543978?sid=101,"Mon, 06 Jul 2026 09:02:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,"교보證 &quot;삼성전기, 분기 거듭할수록 실적↑…목표가 120만→300만원&quot;",목표주가를 상향한다&quot;고 말했다. 교보증권은 삼성전기의 올해 2분기 매출액을 3조 4084억 원으로 전년 동기... AI 반도체의 대면적화와 고다층화로 FCBGA 수급이 타이트한 상황이 이어지면서 서버용 제품을 중심으로... ,https://www.news1.kr/finance/general-stock/6218395,https://n.news.naver.com/mnews/article/421/0009041947?sid=101,"Mon, 06 Jul 2026 09:02:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,[마켓 프리뷰] 반도체株 반등 조짐…삼성전자 실적·SK하이닉스 ADR 주목,반도체 투자심리 변화와 업종 순환매 지속 여부가 핵심 변수가 될 것&quot;이라며 &quot;최근 단일종목 레버리지 상품 거래대금이 코스피 거래대금의 20%를 웃돌면서 수급 변동성이 확대될 수 있지만 코스피 선행 주가수익비율... ,https://www.ajunews.com/view/20260706084555102,https://www.ajunews.com/view/20260706084555102,"Mon, 06 Jul 2026 09:00:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,[하반기 경제전망下] '양날의 검' 반도체 호황···수출·내수 균형 시...,◇반도체 수출 온기···소비·투자 등 내수 전반으로  확산 수출 호조의 온기는 민간 소비와 투자 등 내수 전반으로 확산되고 있다. 수출 호조와 주가 상승 등이 가계 소득 개선으로 이어지며 소비자심리지수(CCSI)는 4월... ,https://www.seoulfn.com/news/articleView.html?idxno=632613,https://www.seoulfn.com/news/articleView.html?idxno=632613,"Mon, 06 Jul 2026 09:00:00 +0900",2026-07-06 09:10:03
반도체,반도체 주가,"폴라리스오피스, 계열사·경영진 잇따라 장내 매수…&quot;중장기 성장 자신...",폴라리스오피스의 계열사와 주요 경영진이 잇달아 자사주를 장내 매수하며 책임경영과 주주가치 제고... 회사 측은 최근 반도체 등 일부 대형 업종으로 투자 자금이 집중되면서 코스닥 시장 전반의 투자심리가 위축된... ,https://view.asiae.co.kr/article/2026070609000064030,https://n.news.naver.com/mnews/article/277/0005785734?sid=101,"Mon, 06 Jul 2026 09:00:00 +0900",2026-07-06 09:10:03
